Name,Type,Mag,Dist. / kpc,Constellation,R.A.,Rahours,Raminutes,Radeg,Decl.,Decdeg,Decmin,DeclDeg,RadRa,RadDec,Other names
NGC 545,Galaxy,13.3,82900,Cetus,125,1,25,21.25,-01°20',-1,-20,-1.333333333,0.370882466,-0.023271057,
NGC 68,Galaxy,13,83200,Andromeda,18,0,18,4.5,+30°04',30,4,30.06666667,0.078539816,0.524762328,
NGC 391,Galaxy,14.3,83300,Cetus,107,1,7,16.75,+00°55',0,55,0.916666667,0.29234265,0.015998851,
NGC 837,Galaxy,14.8,83300,Cetus,210,2,10,32.5,-22°25',-22,-25,-22.41666667,0.567232007,-0.391244641,
NGC 79,Galaxy,15.2,83600,Andromeda,21,0,21,5.25,+22°33',22,33,22.55,0.091629786,0.393571746,
NGC 112,Galaxy,14.4,84250,Andromeda,26,0,26,6.5,+31°42',31,42,31.7,0.113446401,0.553269373,
NGC 10,Galaxy,12.5,84300,Sculptor,8,0,8,2,-33°51',-33,-51,-33.85,0.034906585,-0.590793952,
NGC 415,Galaxy,14.3,84300,Sculptor,110,1,10,17.5,-35°29',-35,-29,-35.48333333,0.305432619,-0.619300996,
NGC 426,Galaxy,12.9,84300,Cetus,112,1,12,18,-00°17',0,-17,-0.283333333,0.314159265,-0.0049451,
NGC 546,Galaxy,14.4,84500,Sculptor,125,1,25,21.25,-38°04',-38,-4,-38.06666667,0.370882466,-0.664388669,
NGC 622,Galaxy,14.1,84800,Cetus,136,1,36,24,+00°39',0,39,0.65,0.41887902,0.01134464,Mrk 571
NGC 548,Galaxy,13.7,85000,Cetus,126,1,26,21.5,-01°13',-1,-13,-1.216666667,0.375245789,-0.021234839,
NGC 989,Galaxy,15.1,85100,Cetus,233,2,33,38.25,-16°30',-16,-30,-16.5,0.667588439,-0.287979327,
NGC 317,Galaxy,13.9,85900,Andromeda,57,0,57,14.25,+43°47',43,47,43.78333333,0.248709418,0.764163324,
NGC 513,Galaxy,13.4,86250,Andromeda,124,1,24,21,+33°47',33,47,33.78333333,0.366519143,0.589630399,
NGC 624,Galaxy,14.2,86600,Cetus,135,1,35,23.75,-10°00',-10,0,-10,0.414515697,-0.174532925,
